Atomic Number,Element,Multiplicity,Term Symbol,DfH0(0),ΔfH°gas,StdErr,(from web elements) gas atom Hº298-Hº0,standard state Hº298-Hº0,"Sºgas,1 bar",StdErr2,Reference,,PBE@700 atom energy,PBE-D3BJ@700 atom energy,r2SCAN@700 atom energy,r2SCAN-D3BJ@700 atom energy,PBE@700,PBE-D3BJ@700,r2SCAN@700,r2SCAN-D3BJ@700
59,Pr,4,4I9/2,,,,,,,,,,-33.943,-34.831,-2454.285,-2455.136,,,,
60,Nd,5,5I4,,,,,,,,,,-27.446,-28.245,-2438.392,-2439.160,,,,
61,Pm,6,6H5/2,,,,,,,,,,-43.400,-44.423,-2458.001,-2458.725,,,,
62,Sm,7,7F0,,,,,,,,,,-40.890,-41.602,-2476.000,-2476.685,,,,
63,Eu,8,8S7/2,,,,,,,,,,-2.436,-3.114,-2417.613,-2418.266,,,,
64,Gd,9,9D2,,,,,,,,,,-25.878,-26.243,-2550.127,-2550.482,,,,
65,Tb,6,6H15/2,,,,,,,,,,-25.875,-26.452,-2605.731,-2606.286,,,,
66,Dy,5,5I8,,,,,,,,,,-25.207,-25.832,-2675.016,-2675.517,,,,
67,Ho,4,4I15/2,,,,,,,,,,-32.865,-33.397,-2760.441,-2760.953,,,,
68,Er,3,3H6,,,,,,,,,,-32.312,-32.824,-2860.155,-2860.644,,,,
69,Tm,2,2F7/2,,,,,,,,,,-32.126,-32.609,-2975.859,-2976.326,,,,
70,Yb,1,1S0,,,,,,,,,,-1.335,-1.809,-3058.806,-3059.265,,,,
71,Lu,2,2D3/2,,,,,,,,,,-25.099,-25.425,-3257.109,-3257.408,,,,
72,Hf,3,3F2,,,,,,,,,,-337.805,-338.090,-3736.678,-3736.951,,,,
73,Ta,4,4F3/2,,,,,,,,,,-344.401,-344.624,-3903.400,-3903.616,,,,
74,W,5,5D0,,,,,,,,,,-378.964,-441.345,-4189.649,-4189.798,,,,
75,Re,6,6S5/2,,,,,,,,,,-444.949,-445.103,-4335.911,-4336.061,,,,
76,Os,5,5D4,,,,,,,,,,-285.668,-289.302,-4332.686,-4332.809,,,,
77,Ir,4,4F9/2,,,,,,,,,,-145.714,-146.093,-4362.961,-4363.068,,,,
78,Pt,3,3D3,,,,,,,,,,-55.356,-64.325,-4416.915,-4416.982,,,,
79,Au,2,2S1/2,,,,,,,,,,-17.876,-17.944,-4551.786,-4551.844,,,,
80,Hg,1,1S0,,,,,,,,,,-1.075,-1.138,-4719.203,-4719.265,,,,
81,Tl,2,2P1/2,,,,,,,,,,-18.603,-18.757,-4929.535,-4929.684,,,,
82,Pb,3,3P0,,,,,,,,,,-60.489,-60.626,-5158.496,-5158.630,,,,
83,Bi,4,4S3/2,,,,,,,,,,-131.071,-131.185,-5424.710,-5424.821,,,,
84,Po,3,3P2,,,,,,,,,,-60.615,-60.720,-5528.559,-5528.659,,,,
85,At,2,2P3/2,,,,,,,,,,-16.206,-16.292,-5647.801,-5647.886,,,,
86,Rn,1,1S0,,,,,,,,,,-0.679,-0.752,-5805.586,-5805.657,-0.679,-0.752,-5805.586,-5805.657
87,Fr,2,2S1/2,,,,,,,,,,-18.900,-20.594,-5972.563,-5974.084,,,,
88,Ra,1,1S0,,,,,,,,,,-5.117,-6.502,-6084.565,-6085.678,,,,
89,Ac,2,2D3/2,,,,,,,,,,-26.800,-27.601,-6283.147,-6283.908,,,,
90,Th,3,3F2,,,,,,,,,,-101.046,-103.982,-6501.724,-6502.553,,,,
91,Pa,4,4K11/2,,,,,,,,,,-179.161,-108.734,-6782.039,-6798.122,,,,
92,U,5,5L6,,,,,,,,,,-423.829,-446.818,-7180.495,-7181.021,,,,
93,Np,6,6L11/2,,,,,,,,,,-710.168,-710.773,-7551.317,-7551.901,,,,
94,Pu,7,7F0,,,,,,,,,,-1004.949,-1007.142,-8008.788,-8009.337,,,,
95,Am,8,8S7/2,,,,,,,,,,,,,,,,,
96,Cm,9,9D2,,,,,,,,,,,,,,,,,
97,Bk,6,6H15/2,,,,,,,,,,,,,,,,,
98,Cf,5,5I8,,,,,,,,,,,,,,,,,
99,Es,4,4I15/2,,,,,,,,,,,,,,,,,
100,Fm,3,3H6,,,,,,,,,,,,,,,,,
101,Md,2,2F7/2,,,,,,,,,,,,,,,,,
102,No,1,1S0,,,,,,,,,,,,,,,,,
